#Y2S-Npart
#Npart	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
279	0.07091806266388744	0.09004901082501336	0.10446544834155325
280	0.07065263632983346	0.08972059740336294	0.10408907326174215
281	0.07038887647548395	0.0893940651269136	0.1037151268811125
282	0.07012678310083895	0.0890694139956654	0.10334360919966432
283	0.06986635620589841	0.0887466440096183	0.1029745202173976
284	0.06960759579066239	0.08842575516877231	0.10260785993431233
285	0.06935050185513088	0.08810674747312745	0.1022436283504086
286	0.06909507439930383	0.08778962092268369	0.10188182546568626
287	0.0688413134231813	0.08747437551744107	0.10152245128014543
288	0.06858921892676324	0.08716101125739956	0.10116550579378608
289	0.06833879091004968	0.08684952814255914	0.10081098900660816
290	0.06809002937304061	0.08653992617291985	0.10045890091861172
291	0.06784293431573604	0.0862322053484817	0.10010924152979675
292	0.06759750573813599	0.08592636566924465	0.09976201084016327
293	0.06735374364024038	0.0856224071352087	0.09941720884971124
294	0.0671116480220493	0.0853203297463739	0.09907483555844068
295	0.06687121888356268	0.0850201335027402	0.09873489096635159
296	0.06663245622478059	0.08472181840430758	0.09839737507344394
297	0.06639536004570297	0.08442538445107611	0.09806228787971777
298	0.06615993034632986	0.08413083164304576	0.0977296293851731
299	0.0659261671266612	0.08383815998021651	0.09739939958980987
300	0.06569407038669707	0.08354736946258841	0.09707159849362813
301	0.06546364012643743	0.0832584600901614	0.09674622609662784
302	0.06523487634588228	0.0829714318629355	0.09642328239880903
303	0.06500777904503162	0.08268628478091072	0.09610276740017167
304	0.06478234822388544	0.08240301884408707	0.0957846811007158
305	0.06455858388244379	0.08212163405246453	0.09546902350044136
306	0.06433614479498116	0.08184188383875284	0.09515539750899521
307	0.06411395889375059	0.08156299353439787	0.09484255554236294
308	0.06389194812657363	0.08128490673944883	0.09453040676985745
309	0.06367011249345027	0.08100762345390566	0.09421895119147872
310	0.06344845199438054	0.08073114367776842	0.0939081888072268
311	0.06322696662936439	0.08045546741103708	0.09359811961710163
312	0.06300565639840187	0.08018059465371163	0.09328874362110325
313	0.06278452130149298	0.0799065254057921	0.09298006081923167
314	0.06256356133863766	0.07963325966727847	0.09267207121148682
315	0.062342776509835995	0.07936079743817075	0.0923647747978688
316	0.062122166815087906	0.07908913871846891	0.09205817157837752
317	0.06190173225439345	0.07881828350817298	0.09175226155301303
318	0.06168147282775259	0.07854823180728296	0.09144704472177533
319	0.06146138853516535	0.07827898361579885	0.0911425210846644
320	0.06124147937663173	0.07801053893372066	0.09083869064168026
321	0.061021745352151706	0.07774289776104834	0.09053555339282289
322	0.0608021864617253	0.07747606009778192	0.09023310933809231
323	0.0605828027053525	0.07721002594392141	0.08993135847748847
324	0.06036359408303331	0.07694479529946682	0.08963030081101145
325	0.06014456059476773	0.07668036816441812	0.08932993633866118
326	0.05992570224055577	0.07641674453877532	0.08903026506043771
327	0.05970701902039741	0.07615392442253843	0.088731286976341
328	0.05948851093429267	0.07589190781570747	0.08843300208637109
329	0.05927017798224154	0.07563069471828238	0.08813541039052795
330	0.05905202016424402	0.07537028513026318	0.08783851188881157
